timestamp,symbol,action,amount,entry_price,sl,tp,rsi,ai_confidence,trend_1h,trend_4h,ai_summary
"2026-03-02 16:24:31","USDJPY","Sell","10000","157.698","157.918","157.158","90.70566904821743","85","上昇","上昇","RSIが90を超え、売られすぎの条件が満たされており、4時間トレンドも上昇だが、短期的な反転を狙った売りを推奨します。"
"2026-03-02 16:29:33","EURUSD","Buy","10000","1.16842","1.16615","1.17073","22.103823614952887","80","下降","横ばい","RSIが過剰売られ状態であり、ボリンジャーバンドの下限付近に位置しているため、買いシグナルが強い。"
"2026-03-02 16:29:33","USDJPY","Sell","10000","157.612","157.862","156.862","86.09021591230007","80","上昇","上昇","RSIが86を超えており、極端な買われすぎの状態で、Sellシグナルが出ているため、売りを推奨します。"
"2026-03-02 16:56:05","EURUSD","Buy","10000","1.16936","1.16700","1.17370","24.771261750661864","80","下降","横ばい","RSIが売られすぎの領域にあり、ボリンジャーバンドの下限付近で買いシグナルが発生しているため、エントリーを推奨します。"
"2026-03-02 16:56:05","XAUUSD","Buy","50","5299.54","5282.84","5326.48","33.86345188347413","70","横ばい","上昇","RSIが売られすぎの状態であり、ボリンジャーバンドの下限付近に位置しているため、買いシグナルが発生しています。"
"2026-03-02 17:51:16","EURUSD","Buy","10000","1.17006","1.16777","1.17393","28.12087291936956","80","下降","横ばい","RSIが過剰売られ状態であり、ボリンジャーバンドの下限付近に位置しているため、買いシグナルが発生しています。"
"2026-03-02 18:56:30","EURJPY","Buy","10000","3.6261","3.208","4.462","37.5415737794804","70","横ばい","上昇","RSIが買われすぎの閾値を下回り、%BがBB下限付近であるため、買いシグナルが発生しています。"
"2026-03-02 18:56:30","XAUUSD","Buy","50","5313.74","5300.77","5346.50","35.27172015733005","70","横ばい","上昇","RSIが売られすぎの状態であり、ボリンジャーバンドの下限付近に位置しているため、買いシグナルが発生しています。"
"2026-03-02 22:33:16","EURUSD","Buy","10000","1.16928","1.16725","1.17168","38.15254912373871","80","下降","横ばい","RSIが買われすぎの閾値を下回り、%BがBBの下限付近にあり、Buyシグナルが発生しているため、エントリーを推奨します。"
"2026-03-02 22:33:16","XAUUSD","Buy","50","5322.6","5305.57","5349.64","30.032801423175755","70","横ばい","上昇","1時間足でRSIが30を下回り、ボリンジャーバンドの下限付近にあるため、買いシグナルが発生しています。"
